City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,deputatskiy,12,RU,1526325708,78,69.3,139.9,9.74,4.61
88,te anau,0,NZ,1526325708,76,-45.41,167.72,20.81,2.37
89,sao filipe,0,CV,1526325709,93,14.9,-24.5,72.74,11.21
90,kongwa,44,TZ,1526325709,95,-6.19,36.41,63.56,5.39
91,lakselv,0,NO,1526320200,66,70.05,24.96,55.4,9.17
92,iralaya,75,HN,1526324400,70,15.0,-83.23,86.0,6.93
93,bilma,0,NE,1526325709,10,18.69,12.92,94.61,8.41
94,hami,92,CN,1526325709,30,42.84,93.51,74.54,3.6
95,la plata,40,AR,1526324400,68,-34.92,-57.95,69.8,6.93
96,kalmunai,44,LK,1526325710,100,7.42,81.82,73.82,3.04
97,vao,8,EE,1526325710,29,59.1,26.19,70.04,4.05
98,yellowknife,90,CA,1526320800,42,62.45,-114.38,30.2,12.75
99,tiksi,80,RU,1526325710,92,71.64,128.87,15.05,4.83
100,lebork,0,PL,1526322600,51,54.54,17.75,60.8,8.05
101,thompson,20,CA,1526320800,34,55.74,-97.86,33.8,13.87
102,grand-lahou,36,CI,1526325710,71,5.24,-5.0,83.54,8.63
103,chuy,64,UY,1526325513,80,-33.69,-53.46,68.51,13.0
104,sioux lookout,75,CA,1526324400,31,50.1,-91.92,68.0,20.8
105,arraial do cabo,0,BR,1526324400,69,-22.97,-42.02,78.8,11.41
106,peniche,20,PT,1526322600,82,39.36,-9.38,59.0,23.04
107,olinda,90,EC,1526324400,65,-2.03,-79.75,80.6,5.82
108,butaritari,68,KI,1526325711,100,3.07,172.79,81.74,15.01
109,college,75,US,1526324280,66,64.86,-147.8,51.8,11.41
110,bissau,0,GW,1526320800,55,11.86,-15.58,87.8,11.41
111,karratha,0,AU,1526325483,20,-20.74,116.85,64.55,14.67
112,chandbali,76,IN,1526325712,100,20.77,86.74,83.09,11.32
113,kiama,0,AU,1526324400,87,-34.67,150.86,50.0,11.41
114,talnakh,80,RU,1526325464,79,69.49,88.39,13.61,6.4
115,havelock,20,US,1526322600,49,34.88,-76.9,89.6,13.87
116,edwardsville,40,US,1526324160,52,38.81,-89.95,89.6,13.87
117,salvador,40,BR,1526324400,70,-12.98,-38.48,84.2,11.41
118,victoria,75,BN,1526324400,94,5.28,115.24,80.6,2.37
119,arawa,68,NG,1526325713,75,7.05,3.9,81.29,5.17
120,hithadhoo,8,MV,1526325713,100,-0.6,73.08,83.9,2.82
121,vila,40,IT,1526322000,62,45.18,8.4,59.0,10.29
122,avarua,75,CK,1526320800,73,-21.21,-159.78,75.2,5.82
123,iracoubo,88,GF,1526325713,86,5.48,-53.21,79.31,6.51
124,severo-kurilsk,88,RU,1526325714,100,50.68,156.12,35.03,9.98
125,katsuura,0,JP,1526325714,84,33.93,134.5,55.73,0.58
126,houma,56,CN,1526325714,92,35.63,111.36,63.83,2.37
127,comodoro rivadavia,75,AR,1526324400,66,-45.87,-67.48,50.0,16.11
128,tsabong,0,BW,1526325714,40,-26.02,22.4,56.9,6.85
129,fairbanks,75,US,1526324280,66,64.84,-147.72,51.8,11.41
130,saskylakh,48,RU,1526325714,71,71.97,114.09,6.68,2.93
131,port alfred,32,ZA,1526325715,100,-33.59,26.89,63.74,4.83
132,pevek,92,RU,1526325715,95,69.7,170.27,31.43,6.85
133,guanare,92,VE,1526325715,99,9.04,-69.74,76.52,5.28
134,bethel,40,US,1526323980,74,60.79,-161.76,35.6,9.17
135,jamestown,44,AU,1526325716,80,-33.21,138.6,32.69,2.93
136,yulara,20,AU,1526320800,62,-25.24,130.99,50.0,9.17
137,marawi,64,PH,1526325716,98,8.0,124.29,68.87,2.37
138,general roca,0,AR,1526325716,33,-39.03,-67.58,60.59,17.69
139,dunedin,24,NZ,1526325716,96,-45.87,170.5,39.53,8.52
140,port elizabeth,90,US,1526324160,77,39.31,-74.98,69.8,3.36
141,souillac,92,FR,1526322600,93,45.6,-0.6,55.4,6.93
142,nguru,12,NG,1526325717,43,12.88,10.45,92.9,2.15
143,lakatoro,24,VU,1526325717,95,-16.11,167.42,76.61,6.4
144,macapa,40,BR,1526324400,59,0.05,-51.07,91.4,11.41
145,kaihua,44,CN,1526325717,97,29.14,118.41,69.86,2.15
146,mangrol,0,IN,1526325717,32,25.33,76.51,85.16,7.18
147,tacna,0,PE,1526324400,53,-18.01,-70.25,73.4,13.87
148,zhigansk,0,RU,1526325718,65,66.77,123.37,20.27,7.4
149,poso,92,ID,1526325718,100,-1.4,120.75,74.36,2.59
150,elat,36,CM,1526325718,81,2.91,11.16,74.81,2.59
151,maniitsoq,80,GL,1526325508,100,65.42,-52.9,28.01,5.17
152,jalu,0,LY,1526325718,27,29.03,21.55,76.97,4.61
153,hamilton,90,CA,1526324400,64,43.26,-79.87,71.6,6.93
154,ixtapa,5,MX,1526323560,70,20.71,-105.21,84.2,13.87
155,celendin,40,PE,1526324400,63,-6.87,-78.15,66.2,8.05
156,upernavik,36,GL,1526325464,91,72.79,-56.15,33.77,1.81
157,saint pete beach,90,US,1526325300,94,27.73,-82.74,78.8,9.17
158,grand-santi,44,GF,1526325719,77,4.27,-54.38,83.45,3.15
159,tessalit,0,ML,1526325719,8,20.2,1.01,94.25,7.4
160,san patricio,0,PY,1526325719,50,-26.98,-56.83,83.27,4.94
161,lata,0,IN,1526325719,100,30.78,78.62,47.27,1.7
162,harper,40,US,1526324100,58,30.3,-99.24,82.4,12.75
163,glace bay,20,CA,1526320800,51,46.2,-59.96,59.0,21.92
164,wewak,80,PG,1526325720,100,-3.55,143.63,74.27,1.36
165,balgazyn,92,RU,1526325720,78,51.0,95.2,31.52,9.08
166,san-pedro,48,CI,1526325504,86,4.75,-6.64,81.11,9.64
167,vila franca do campo,75,PT,1526322600,63,37.72,-25.43,64.4,10.29
168,zanjan,68,IR,1526325721,96,36.67,48.48,43.31,2.71
169,vulcan,0,CA,1526325721,35,50.4,-113.26,75.62,10.2
170,saldanha,12,PT,1526325721,34,41.42,-6.55,67.79,5.84
171,east london,0,ZA,1526320800,93,-33.02,27.91,59.0,4.7
172,marsh harbour,88,BS,1526325721,95,26.54,-77.06,79.04,19.37
173,ancud,92,CL,1526325721,98,-41.87,-73.83,48.44,7.4
174,resistencia,0,AR,1526324400,57,-27.45,-58.99,80.6,8.05
175,oistins,20,BB,1526324400,66,13.07,-59.53,84.2,24.16
176,san angelo,20,US,1526323860,52,31.46,-100.44,87.8,8.05
177,olga,40,US,1526324340,56,34.11,-118.17,73.4,8.05
178,pangkalanbuun,32,ID,1526325722,95,-2.68,111.62,74.36,1.59
179,rincon,90,US,1526324160,69,32.3,-81.24,84.2,10.29
180,kaitangata,0,NZ,1526325722,63,-46.28,169.85,31.16,6.96
181,longyearbyen,75,NO,1526320200,74,78.22,15.63,33.8,2.24
182,port augusta,90,AU,1526324400,87,-32.49,137.76,50.0,3.36
183,torbay,75,CA,1526320800,28,47.66,-52.73,59.0,25.28
184,mantua,40,IT,1526322000,63,45.16,10.79,62.6,4.7
185,grindavik,75,IS,1526320800,81,63.84,-22.43,42.8,24.16
186,san cristobal,40,EC,1526320800,48,-0.39,-78.55,66.2,4.7
187,port hardy,20,CA,1526320800,87,50.7,-127.42,53.6,4.7
188,avera,1,US,1526324100,38,33.19,-82.53,91.4,4.72
189,jining,76,CN,1526325723,77,35.41,116.58,78.14,11.65
190,ahome,40,MX,1526323200,33,25.92,-109.18,89.6,14.99
191,shiozawa,0,JP,1526325724,97,37.03,138.85,45.2,2.04
192,saint-leu,0,RE,1526322600,53,-21.15,55.28,71.6,6.93
193,monte alto,0,BR,1526325724,41,-21.27,-48.5,86.06,7.85
194,shibetsu,0,JP,1526325725,98,44.15,142.46,42.23,2.15
195,gigmoto,92,PH,1526325725,100,13.78,124.39,80.66,7.18
196,mount isa,0,AU,1526324400,69,-20.73,139.49,57.2,12.75
197,kyabram,20,AU,1526325725,85,-36.31,145.05,40.7,5.17
198,eten,40,PE,1526324400,61,-6.91,-79.86,77.0,12.75
199,jaciara,0,BR,1526325725,44,-15.95,-54.98,91.1,7.74
200,carutapera,64,BR,1526325726,89,-1.2,-46.02,81.29,8.19
201,petrovsk,48,RU,1526325726,48,52.31,45.39,67.25,4.27
202,chalette-sur-loing,90,FR,1526322600,93,48.01,2.74,55.4,9.17
203,le mars,90,US,1526325300,93,42.79,-96.17,66.2,5.82
204,yaring,32,TH,1526325726,93,6.87,101.37,77.24,2.37
205,kroonstad,92,ZA,1526325726,92,-27.65,27.24,47.27,4.94
206,innisfail,40,CA,1526320800,24,52.02,-113.95,71.6,5.82
207,shaunavon,0,CA,1526325727,40,49.65,-108.41,71.21,4.61
208,santa vitoria,76,BR,1526325727,72,-7.82,-67.03,83.81,3.83
209,pangnirtung,90,CA,1526320800,74,66.15,-65.72,28.4,13.87
210,xichang,0,CN,1526325727,75,27.88,102.25,48.44,1.59
211,jacmel,32,HT,1526325727,90,18.24,-72.54,82.46,18.81
212,kahului,40,US,1526324280,69,20.89,-156.47,78.8,12.75
213,khatanga,20,RU,1526325727,73,71.98,102.47,10.55,10.2
214,wattegama,48,LK,1526325728,95,7.35,80.68,69.95,2.59
215,portland,20,US,1526324160,46,45.52,-122.67,73.4,2.93
216,taoudenni,0,ML,1526325728,10,22.68,-3.98,100.64,13.78
217,mwinilunga,36,ZM,1526325728,53,-11.73,24.43,70.31,4.38
218,hohhot,0,CN,1526324400,51,40.81,111.65,62.6,4.47
219,lima,0,PE,1526325728,66,-12.06,-77.04,68.96,2.71
220,pisco,0,PE,1526324400,83,-13.71,-76.2,69.8,10.29
221,juneau,90,US,1526324160,81,58.3,-134.42,50.0,13.87
222,cabo san lucas,20,MX,1526323440,35,22.89,-109.91,87.8,8.05
223,hofn,90,IS,1526324400,81,64.25,-15.21,48.2,9.17
224,general salgado,76,BR,1526325729,49,-20.65,-50.36,81.83,4.16
225,buala,0,SB,1526325729,97,-8.15,159.59,79.31,4.27
226,lompoc,1,US,1526324160,59,34.64,-120.46,68.0,16.11
227,lavrentiya,76,RU,1526325729,100,65.58,-170.99,27.65,4.61
228,southbridge,1,US,1526324160,59,42.08,-72.03,73.4,6.93
229,kongolo,48,CD,1526325730,77,-5.39,27.0,76.97,2.93
230,gat,0,SN,1526320800,28,14.69,-16.54,95.0,6.93
231,ouango,88,CD,1526325470,100,4.31,22.55,71.66,2.26
232,kupang,24,ID,1526325730,88,-10.16,123.6,80.75,18.81
233,sitka,12,US,1526325489,61,37.17,-99.65,83.09,9.42
234,plouzane,0,FR,1526322600,71,48.38,-4.62,57.2,9.17
235,puerto montt,75,CL,1526324400,62,-41.47,-72.94,53.6,9.17
236,suraabad,0,AZ,1526324400,82,40.82,49.47,60.8,9.17
237,high level,75,CA,1526320800,53,58.52,-117.13,55.4,12.75
238,amahai,76,ID,1526325731,100,-3.31,129.0,81.47,2.15
239,alofi,64,NU,1526320800,73,-19.06,-169.92,73.4,13.87
240,leningradskiy,36,RU,1526325731,100,69.38,178.42,9.74,11.99
241,chama,0,ZM,1526325731,38,-11.22,33.16,75.8,14.67
242,whitehorse,75,CA,1526324400,29,60.72,-135.06,50.0,20.8
243,kudahuvadhoo,20,MV,1526325731,100,2.67,72.89,84.44,2.71
244,iqaluit,90,CA,1526320800,79,63.75,-68.52,19.4,17.22
245,mocuba,0,MZ,1526325732,62,-16.84,36.99,73.73,6.17
246,cockburn town,32,TC,1526325608,94,21.46,-71.14,80.48,18.37
247,kvam,12,NO,1526325732,62,61.67,9.69,58.07,2.37
248,guerrero negro,0,MX,1526325732,62,27.97,-114.04,68.06,11.32
249,airai,32,TL,1526325732,92,-8.93,125.41,66.8,1.14
250,parati,0,BR,1526325732,68,-20.51,-54.63,83.0,4.61
251,oriximina,32,BR,1526325733,71,-1.77,-55.87,85.16,1.7
252,hervey bay,36,AU,1526325733,100,-25.3,152.85,66.62,11.43
253,gorontalo,12,ID,1526325733,96,0.54,123.06,72.83,1.59
254,imbituba,20,BR,1526324400,64,-28.24,-48.67,75.2,10.29
255,bathsheba,20,BB,1526324400,66,13.22,-59.52,84.2,24.16
256,vanimo,76,PG,1526325733,100,-2.67,141.3,83.63,8.08
257,beyneu,0,KZ,1526325733,28,45.32,55.19,64.55,7.4
258,kaura namoda,8,NG,1526325734,60,12.59,6.58,87.77,1.7
259,namatanai,32,PG,1526325734,100,-3.66,152.44,81.92,4.94
260,yenagoa,48,NG,1526325737,80,4.92,6.26,79.4,7.07
261,provideniya,24,RU,1526325737,100,64.42,-173.23,29.09,5.17
262,komsomolskiy,92,RU,1526325737,89,67.55,63.78,20.54,3.6
263,ellisras,92,ZA,1526325737,64,-23.67,27.74,64.19,5.61
264,isangel,24,VU,1526325459,99,-19.55,169.27,78.59,6.96
265,kirakira,88,SB,1526325737,100,-10.46,161.92,81.38,7.85
266,kamenka,0,RU,1526325738,35,53.19,44.05,64.91,7.85
267,ushumun,0,RU,1526325738,75,52.78,126.54,43.49,5.73
268,ust-karsk,88,RU,1526325738,70,52.71,118.82,41.69,2.71
269,beinamar,48,TD,1526325738,67,8.67,15.38,82.73,3.94
270,nelson bay,90,AU,1526324400,87,-32.72,152.14,51.8,9.17
271,mayo,90,CA,1526324400,61,63.59,-135.9,46.4,9.17
272,dongsheng,36,CN,1526325739,69,29.72,112.52,82.19,16.24
273,cidreira,0,BR,1526325739,72,-30.17,-50.22,73.01,7.74
274,rio gallegos,75,AR,1526324400,100,-51.62,-69.22,37.4,9.17
275,macusani,64,PE,1526325739,99,-14.07,-70.43,56.18,2.71
276,bursa,0,TR,1526322000,63,40.18,29.07,62.6,3.71
277,lasa,20,CY,1526322600,77,34.92,32.53,69.8,4.7
278,acurenam,44,GA,1526325740,93,1.03,10.67,73.19,2.48
279,kotelnich,0,RU,1526325740,30,58.31,48.34,57.08,5.06
280,jumla,0,NP,1526325740,81,29.28,82.18,30.53,2.48
281,toktogul,92,KG,1526325740,100,41.87,72.95,40.88,1.92
282,eydhafushi,48,MV,1526325740,100,5.1,73.07,84.17,5.39
283,chumikan,92,RU,1526325740,95,54.72,135.31,31.16,12.66
284,pitimbu,75,BR,1526324400,74,-7.47,-34.81,80.6,13.87
285,dikson,36,RU,1526325741,84,73.51,80.55,12.98,12.77
286,duku,0,NG,1526325741,43,11.24,4.91,92.9,5.95
287,tuy hoa,20,VN,1526325741,96,13.08,109.3,78.41,3.38
288,mont-dore,44,NC,1526322600,100,-22.23,166.53,68.0,2.24
289,nemuro,44,JP,1526325741,96,43.32,145.57,43.49,10.98
290,baykit,48,RU,1526325741,75,61.68,96.39,22.34,2.59
291,jala,20,PK,1526325742,87,33.36,71.93,65.99,6.73
292,husavik,0,CA,1526325485,63,50.56,-96.99,62.03,6.06
293,castle rock,1,US,1526324160,60,46.27,-122.91,75.2,3.36
294,boa vista,56,BR,1526325743,79,2.82,-60.67,84.62,10.2
295,dali,0,CN,1526325743,100,25.6,100.24,48.71,1.7
296,hirara,0,JP,1526325470,98,24.8,125.28,77.69,8.52
297,santa cruz,1,US,1526324160,63,36.97,-122.03,68.0,8.05
298,kahama,80,TZ,1526325745,98,-3.83,32.6,64.01,6.4
299,darhan,92,MN,1526325745,76,49.49,105.92,45.02,13.22
300,presidencia roque saenz pena,88,AR,1526325745,99,-26.79,-60.44,71.39,7.74
301,tsogni,36,GA,1526325745,100,-2.79,10.1,80.57,6.85
302,puqi,0,CN,1526325746,72,29.72,113.88,80.39,12.1
303,zhanaozen,0,KZ,1526325746,24,43.35,52.85,71.3,11.1
304,tiznit,0,MA,1526325746,74,29.7,-9.73,68.69,9.42
305,richards bay,92,ZA,1526325746,100,-28.77,32.06,60.77,6.62
306,touros,0,BR,1526325746,65,-5.2,-35.46,85.97,16.69
307,half moon bay,90,US,1526324400,76,37.46,-122.43,68.0,4.7
308,troitskoye,88,RU,1526325747,53,52.98,84.68,47.45,7.63
309,broome,40,GB,1526324160,81,52.47,1.45,57.2,11.41
310,mukhen,80,RU,1526325747,93,48.19,136.14,56.81,4.61
311,balkhash,0,KZ,1526325461,100,46.84,74.98,51.05,6.17
312,baijiantan,92,CN,1526325747,74,45.63,85.18,51.95,5.39
313,enid,40,US,1526323740,46,36.4,-97.88,93.2,13.87
314,khromtau,0,KZ,1526325747,51,50.26,58.44,52.13,6.96
315,mnogovershinnyy,20,RU,1526325505,84,53.94,139.92,30.17,2.93
316,curuca,92,BR,1526325747,98,-2.52,-61.06,76.97,3.6
317,chitapur,44,IN,1526325748,73,17.12,77.08,73.46,8.41
318,yerofey pavlovich,32,RU,1526325748,78,53.97,121.97,36.29,2.04
319,isla vista,1,US,1526324160,59,34.41,-119.86,64.4,11.41
320,kaeo,76,NZ,1526325748,92,-35.1,173.78,59.51,10.2
321,san ramon,90,NI,1526324400,83,12.92,-85.84,77.0,2.26
322,casian,0,RO,1526322600,87,44.5,28.48,57.2,8.05
323,barabai,20,ID,1526325749,96,-2.59,115.38,74.9,2.15
324,vestmannaeyjar,40,IS,1526320800,81,63.44,-20.27,44.6,18.34
325,balotra,0,IN,1526325749,33,25.83,72.24,87.5,7.07
326,mount gambier,92,AU,1526325749,95,-37.83,140.78,51.86,3.38
327,asifabad,12,IN,1526325749,70,19.38,79.29,81.2,6.85
328,muhos,0,FI,1526323800,58,64.81,26.0,55.4,2.24
329,collecchio,0,IT,1526320500,48,44.75,10.22,62.6,12.75
330,uhlove,0,UA,1526325750,81,44.82,33.6,60.23,5.06
331,constitucion,40,MX,1526323500,39,23.99,-104.67,82.4,8.05
332,san lorenzo,0,PY,1526324400,58,-25.34,-57.51,84.2,9.17
333,hobyo,48,SO,1526325750,93,5.35,48.53,80.66,11.43
334,toamasina,20,MG,1526324400,94,-18.17,49.38,73.4,5.82
335,magdagachi,0,RU,1526325751,74,53.45,125.8,43.22,6.62
336,caravelas,88,BR,1526325490,100,-17.73,-39.27,78.41,11.21
337,kloulklubed,40,PW,1526323800,94,7.04,134.26,80.6,4.27
338,abu dhabi,0,AE,1526324400,58,24.47,54.37,86.0,10.29
339,wyszkow,0,PL,1526322600,62,52.59,21.46,59.0,6.93
340,huarmey,8,PE,1526325751,66,-10.07,-78.15,72.83,3.71
341,xifeng,92,CN,1526325752,61,42.73,124.72,65.99,5.28
